filename,version_id,section,thread,description,status
figB_transfer.png,b3edb151-5795-46f5-9e24-64ac3efad736,Cross-species benchmark,main,"Per-species transfer (tracks phylogenetic proximity) + coevolution-block delta (helps 8/13, viral-biased). [Publication-grade, rebuilt]",headline
transfer_tiers_figure.png,19ead054-12e5-4743-9c93-1f949f91091c,Cross-species benchmark,main,Transfer degrades with evolutionary distance; species with no relative sit at chance; no cross-kingdom transfer — the sharpest framing of the transfer result.,headline
balanced_transfer_figure.png,f8a8cb6e-b01b-40cd-8709-177b4cc77558,Cross-species benchmark,main,Original 3-panel balanced-transfer figure — superseded by figB_transfer.,superseded
prediction_eval.png,f16eddad-7ba5-4d1e-92a6-50d5eb6e30f6,Cross-species benchmark,imbalanced,Within-species vs leave-one-species-out on the original imbalanced 5-species benchmark (the 0.485 'chance' number later shown to be an artifact).,superseded
benchmark_composition.png,c61f1f6c-4ab6-4698-80f9-5aeb7bf23acf,Cross-species benchmark,main,Per-species composition of the balanced 13-species benchmark (≤400 positives/species; pathogen-protein diversity by design).,supporting
figA_crosssystem.png,adb0b221-2fb6-415f-b0ca-47e9bcdead8f,Cross-system generality,main,"Cross-system scorecard: significant in 3/8 systems; absolute-entropy panel separates real (SARS-CoV-2) from spurious high-fold (YpkA). [Publication-grade, rebuilt]",headline
interface_var_allsystems.png,23a32c52-1d16-4dc5-906d-3f08cde2d879,Cross-system generality,main,Original cross-system interface-variation figure (v1) — superseded by figA_crosssystem.,superseded
interface_var_deep.png,615dd169-4236-4b3f-ae34-8217a4751641,Cross-system generality,main,Deep bacterial isolate panels (86–800 seqs) that make the bacterial arm of the cross-system test meaningful.,supporting
coverage_overview.png,644291b7-e251-4e03-a4aa-bbd8ea81c1c5,Data & scope,main,"Coverage of the 101,132-pair master interaction corpus — by source, species, evidence tier, and publication timeline.",supporting
coverage_figures.png,86c5b4e5-3c28-48a3-b9af-84578454e001,Data & scope,landscape,"Live database coverage of host–pathogen complexes: the viral (abundant structures, shallow proteomes) vs bacterial asymmetry that drives method choice.",supporting
ppi_source_summary.png,79fda1b5-ebc1-4ee6-9902-00ba27e3aaf4,Data & scope,main,"Breakdown of the interaction corpus by primary source (IntAct/IMEx, structural record) and evidence type.",supporting
corpus_by_theme.png,7723d7a8-e2fa-400c-b4e1-67833344153c,Data & scope,landscape,The 59-reference curated literature corpus organized by methodological theme.,supporting
msa_depth.png,55f5cf2b-7525-412d-bd6a-df28cfeca5f3,Data & scope,signals,Effective MSA depth (Neff/L) across all 16 partners — most alignments fall far below the DCA depth floor.,supporting
alignment_depth.png,a084e20a-c7ee-4965-9f77-a86bdfa9ab23,Data & scope,pilot,Homolog / alignment depth per partner in the pilot set.,supporting
stage1_prep_overview.png,bf402a56-2c71-489e-a44b-45a30c8dd193,Data & scope,prep,"Stage-1 prep: the experimental interface ground-truth set (146k residue contacts) and the MSA-ready sequence set (15,875 pairs).",supporting
figC_prediction.png,ecce2629-ec25-48ce-841b-8135f84721d1,Interface prediction,main,"Interface prediction from strain entropy (strong only for SARS-CoV-2) + balanced within-vs-cross benchmark. [Publication-grade, rebuilt]",headline
interface_prediction_robustness.png,fbd2f918-1990-46c9-bdc2-dfbab7886df0,Interface prediction,main,Interface-prediction AUC per system + depth-robustness (YpkA fold inflates at low depth; anthrax flat).,supporting
stage2_interface_prediction.png,de8ea3ad-2ee3-4d0e-92c4-0c2ac4e533b8,Interface prediction,stage2,Stage-2 interface prediction from entropy across systems.,supporting
stage2_depth_curve.png,77db0183-40d3-47ba-8c50-c3d73f704d2e,Interface prediction,stage2,Stage-2 signal strength vs strain-panel depth.,supporting
stage1_synthesis.png,5b3c66cb-7bee-4520-8fa2-b9f14a49538c,Signal landscape,signals,"Six-panel Stage-1 synthesis over 8 structural complexes: which signal fires per complex, depth-necessary-not-sufficient, MSA-free ESM-2 (fold yes/interface no), arms-race selection, interface conservation, and takeaways.",headline
stage1_signal_map_8pairs.png,0b9688bd-7ee0-4201-b1e8-f66bd54bf4e4,Signal landscape,signals,"The 8-pair signal map: interface size, homolog depth asymmetry, and shared-taxa=0 for 7/8 pairs.",headline
coevolution_cpu_analysis.png,e429c72b-3d72-4e2d-957a-58949fe3cb51,Signal landscape,cpu,"CPU coevolution analysis (3 panels): MSA depth barrier, zero co-speciation overlap, and the DCA positive control on Ras/Rho.",headline
pairing_barrier.png,5c096cb4-a905-40ae-891b-029836e8e59a,Signal landscape,signals,The co-speciation pairing barrier visualized — host and pathogen homolog sets share no species.,supporting
dca_validation.png,8cebe92e-c3a1-4500-8d3b-37f404f336f8,Signal landscape,signals,DCA positive control: top couplings recover true 3D contacts on the Ras/Rho superfamily (proves the math works where depth exists).,supporting
coupling_vs_interface.png,2446b908-1487-43b6-b601-229bcb208f70,Signal landscape,pilot,"Negative result: naive ESM-2 inter-protein coupling does not localize the interface (AUC 0.58, enrichment 1.01×).",supporting
interface_contactmaps.png,3d91c2be-3906-4c52-b749-b579de3dd3de,Signal landscape,pilot,Experimental interface contact maps for the two lead pilot complexes.,supporting
interface_contactmaps_v2.png,dabf7e9e-2841-40b6-bd6e-a9bea3d58479,Signal landscape,pilot,Interface contact maps (revised) across the structural systems.,supporting
signal1_conservation_coupling.png,6d5102df-48b7-4917-8f54-d6f712c1e8f2,Signal landscape,signals,Signal family 1 — intra-protein conservation & coupling patterns at the interface.,supporting
signal2_esm_interchain.png,8b223dad-b1bd-4274-9017-8c2f6833d007,Signal landscape,signals,Signal family 2 — ESM-2 inter-chain coupling evaluation against the true interface.,supporting
signal3_selection.png,4e8824f7-82c7-4d29-a441-f18a399f2453,Signal landscape,signals,Signal family 3 — interface positive selection / arms-race across partners.,supporting
armsrace.png,135603b2-7263-4ffb-8c85-2cc278f1ceb5,Signal landscape,signals,Arms-race signature: interface residues evolve faster than the buried core in deep partners.,supporting
constraint_arms_race.png,7b87200f-7e1d-4546-a9e3-1e0f6cf09925,Signal landscape,cpu,PLM masked-LM constraint as an arms-race proxy — host vs pathogen asymmetry.,supporting
phylo_signals.png,704874f8-2140-4722-aa6a-9dce638beb22,Signal landscape,commensal,Phylogenetic profiling: bacterial-partner co-occurrence across genomes recovers known family structure.,supporting
coev_heatmaps.png,91afb3c7-d5e1-41f7-aca6-99e16edd7859,Signal landscape,signals,Coevolution coupling heatmaps for the analyzed complexes.,supporting
signal_scorecard.png,cd4a565b-5520-4745-88cb-0a3fbb8d65f9,Signal landscape,commensal,Signal-availability scorecard across 9 human–commensal PPI pilot pairs (separate commensal thread): inter-protein DCA undefined everywhere; intra-protein & arms-race present.,supporting
pilot_validation.png,570177f3-ee1b-4fdd-869e-19f9d1f1191e,Structure prediction (Stage 3),af3,"NEWEST: AlphaFold-3 host–pathogen pilot — complex confidence (iPTM), interface recovery vs PDB ground truth, and confidence-vs-accuracy, 8 of 11 pairs scored (iPTM 0.11–0.70, F1 0–0.63).",headline
pilot_overview.png,46ab4fe4-6503-4d83-ad65-7a89ed535afc,Structure prediction (Stage 3),pilot,Pilot overview panel for the lead complexes.,supporting
coevo_ablation.png,4e495789-64a4-47db-a733-f8a4d431f435,The coevolution lever,imbalanced,Coevolution-feature ablation on the imbalanced benchmark (embeddings vs +coevo vs coevo-only).,supporting
figD_signal.png,769a1185-978b-4db2-ac64-7f704702cc36,The new signal,main,"Headline: SARS-CoV-2 concentrates strain variation at ACE2-contact residues — one signal, two baselines (4.2× within RBD, 9.75× vs whole Spike), perm p=1e-4. [Publication-grade, rebuilt]",headline
newsignal_test.png,191fface-375a-4df1-bdb0-469d9bae3b31,The new signal,main,"The three tests of the new signal on SARS-CoV-2: cross-side coupling (null), strain-covariation→contact (null), interface-localized variation (strong).",headline
variation_coverage.png,b664e722-46c9-443a-9412-266ef2c07d44,The new signal,main,"Population×strain variation dataset: ACE2 (675 missense variants, interface invariant) vs RBD (per-residue strain entropy).",supporting
